country,cluster,archetype,pca_x,pca_y
AR,1,Late riser,0.3650509559107205,-0.5038704006899514
AU,1,Late riser,0.11000020900267951,0.020875701442623167
BR,1,Late riser,0.15118219931098134,-0.08266760543627297
CA,1,Late riser,0.31352733140798456,-0.0008368976774289427
DE,1,Late riser,0.12720402104466227,-0.14254860008407194
ES,1,Late riser,0.28244844348469,-0.10739757629895658
FR,2,Late riser,-0.08036000869239286,0.13308561853317402
GB,1,Late riser,-0.005713376751391385,-0.09726577173221472
ID,3,Late riser,0.092248652153785,-0.10684689044189805
IN,2,Late riser,-0.23719260457665087,-0.025234692746054173
IT,1,Late riser,0.29904113817501166,-0.08549112555097305
JP,0,Late riser,-0.6773879234758765,-0.16571351544333232
KR,0,Late riser,-0.6749583337256054,-0.13953242450154252
MX,1,Late riser,0.37673185346489296,-0.3047342028159696
MY,2,Late riser,-0.05581767509470239,0.1872260880937919
NL,1,Late riser,-0.04028861045510602,-0.14454756884841383
PH,1,Late riser,0.28999193092049136,0.10656368299430367
PL,2,Late riser,0.022931751338354248,0.043340176604965655
SA,2,Late riser,-0.3989416833571393,0.042753835223406186
SG,2,Late riser,-0.3880942866705395,0.13603249879689341
TH,2,Late riser,0.20161215504663296,0.5515606896221776
TR,2,Late riser,-0.223408444708303,0.17931256811448143
US,2,Late riser,-0.11648190455133214,-0.0018237792127189351
VN,4,Late riser,0.4466908290537354,0.40441278924689517
ZA,2,Late riser,-0.18001661825558235,0.10334740280708685
