type,offset_weeks,relative_hype
controversy,-4,0.8907492706505106
controversy,-3,0.8910518381735326
controversy,-2,0.8195385874387078
controversy,-1,1.3986603037372491
controversy,0,1.6711418079840303
controversy,1,3.68006027258541
controversy,2,1.512608611641815
controversy,3,1.012974736903363
controversy,4,0.8639676602139637
leak,-4,0.752642721832298
leak,-3,0.9846079844376417
leak,-2,1.0347018691630867
leak,-1,1.2280474245669735
leak,0,2.4736554050508177
leak,1,4.469755390035161
leak,2,4.510002776564453
leak,3,1.8442488145795068
leak,4,0.06736030679608296
marketing,-4,0.8118831533278389
marketing,-3,0.6246303148913679
marketing,-2,0.888837708897437
marketing,-1,1.6746488228833558
marketing,0,2.88271187242055
marketing,1,2.3063308425103686
marketing,2,1.9781585213925956
marketing,3,2.4737636596955332
marketing,4,1.5691953054599808
official,-4,1.0969427101051081
official,-3,0.7994717107567539
official,-2,0.8610964708938109
official,-1,1.242489108244327
official,0,3.393643318636684
official,1,7.802726569244777
official,2,1.897491020792844
official,3,1.494078534626717
official,4,1.645790625541059
rumor,-4,0.8728426222762034
rumor,-3,1.3027770089951238
rumor,-2,0.9279320301861747
rumor,-1,0.8964483385424985
rumor,0,1.3408476157639007
rumor,1,0.9957590463737005
rumor,2,0.7999165771035672
rumor,3,0.9952205759058765
rumor,4,1.0084275448600424
