event,type,offset_weeks,relative_hype
Trailer 1 teaser image posted,official,-4,1.646972328862718
Trailer 1 teaser image posted,official,-3,0.9295514343944915
Trailer 1 teaser image posted,official,-2,0.5244730675463142
Trailer 1 teaser image posted,official,-1,0.8990031691964759
Trailer 1 teaser image posted,official,0,6.221387407468457
Trailer 1 teaser image posted,official,1,25.07772329266171
Trailer 1 teaser image posted,official,2,5.0352882314553815
Trailer 1 teaser image posted,official,3,2.3734731068675714
Trailer 1 teaser image posted,official,4,1.9903321531515035
Trailer 1 released (leaked ~1 day early),official,-4,1.646972328862718
Trailer 1 released (leaked ~1 day early),official,-3,0.9295514343944915
Trailer 1 released (leaked ~1 day early),official,-2,0.5244730675463142
Trailer 1 released (leaked ~1 day early),official,-1,0.8990031691964759
Trailer 1 released (leaked ~1 day early),official,0,6.221387407468457
Trailer 1 released (leaked ~1 day early),official,1,25.07772329266171
Trailer 1 released (leaked ~1 day early),official,2,5.0352882314553815
Trailer 1 released (leaked ~1 day early),official,3,2.3734731068675714
Trailer 1 released (leaked ~1 day early),official,4,1.9903321531515035
Release window narrowed to Fall 2025,official,-4,0.9100774441268003
Release window narrowed to Fall 2025,official,-3,1.1431061414365304
Release window narrowed to Fall 2025,official,-2,0.9628367408302494
Release window narrowed to Fall 2025,official,-1,0.9839796736064199
Release window narrowed to Fall 2025,official,0,1.2150650663834057
Release window narrowed to Fall 2025,official,1,0.8886730840520037
Release window narrowed to Fall 2025,official,2,0.8366980692444246
Release window narrowed to Fall 2025,official,3,0.8091174892396443
Release window narrowed to Fall 2025,official,4,2.6454627717790893
Unverified insider claims internal delay to 2026,rumor,-4,0.9271104715116317
Unverified insider claims internal delay to 2026,rumor,-3,1.020536105666244
Unverified insider claims internal delay to 2026,rumor,-2,1.0335376192012182
Unverified insider claims internal delay to 2026,rumor,-1,1.018815803620906
Unverified insider claims internal delay to 2026,rumor,0,1.286157358013051
Unverified insider claims internal delay to 2026,rumor,1,1.1131346715298285
Unverified insider claims internal delay to 2026,rumor,2,0.9823586333523582
Unverified insider claims internal delay to 2026,rumor,3,0.975990207511435
Unverified insider claims internal delay to 2026,rumor,4,0.9036051906805943
Retailer listing claims Sept 2025 release date,rumor,-4,1.1216228536192796
Retailer listing claims Sept 2025 release date,rumor,-3,1.2237639714694426
Retailer listing claims Sept 2025 release date,rumor,-2,0.9079122070404775
Retailer listing claims Sept 2025 release date,rumor,-1,0.7467009678708006
Retailer listing claims Sept 2025 release date,rumor,0,0.9131170611470907
Retailer listing claims Sept 2025 release date,rumor,1,0.8498631653800947
Retailer listing claims Sept 2025 release date,rumor,2,0.7348723567546236
Retailer listing claims Sept 2025 release date,rumor,3,0.938483258862471
Retailer listing claims Sept 2025 release date,rumor,4,0.8503786535628179
Take-Two Q3 earnings reaffirms release window,official,-4,1.0626333801538097
Take-Two Q3 earnings reaffirms release window,official,-3,0.8739494494067254
Take-Two Q3 earnings reaffirms release window,official,-2,1.0687252155423288
Take-Two Q3 earnings reaffirms release window,official,-1,0.9946919548971362
Take-Two Q3 earnings reaffirms release window,official,0,0.8601050744600761
Take-Two Q3 earnings reaffirms release window,official,1,1.098414174684986
Take-Two Q3 earnings reaffirms release window,official,2,0.995295289609225
Take-Two Q3 earnings reaffirms release window,official,3,1.171494866561645
Take-Two Q3 earnings reaffirms release window,official,4,1.1694707208978783
First delay announced (Fall 2025 -> May 2026),official,-4,1.0416247079969005
First delay announced (Fall 2025 -> May 2026),official,-3,0.7877570453799824
First delay announced (Fall 2025 -> May 2026),official,-2,0.8746531335371485
First delay announced (Fall 2025 -> May 2026),official,-1,1.295965113085969
First delay announced (Fall 2025 -> May 2026),official,0,3.5641891895959725
First delay announced (Fall 2025 -> May 2026),official,1,8.875934331307368
First delay announced (Fall 2025 -> May 2026),official,2,1.9842720458682268
First delay announced (Fall 2025 -> May 2026),official,3,2.00518344836354
First delay announced (Fall 2025 -> May 2026),official,4,0.7796524104736268
Trailer 2 released,official,-4,1.0416247079969005
Trailer 2 released,official,-3,0.7877570453799824
Trailer 2 released,official,-2,0.8746531335371485
Trailer 2 released,official,-1,1.295965113085969
Trailer 2 released,official,0,3.5641891895959725
Trailer 2 released,official,1,8.875934331307368
Trailer 2 released,official,2,1.9842720458682268
Trailer 2 released,official,3,2.00518344836354
Trailer 2 released,official,4,0.7796524104736268
Rockstar fires 30+ staff; union-busting controversy,controversy,-4,0.8907492706505106
Rockstar fires 30+ staff; union-busting controversy,controversy,-3,0.8910518381735326
Rockstar fires 30+ staff; union-busting controversy,controversy,-2,0.8195385874387078
Rockstar fires 30+ staff; union-busting controversy,controversy,-1,1.3986603037372491
Rockstar fires 30+ staff; union-busting controversy,controversy,0,1.6711418079840303
Rockstar fires 30+ staff; union-busting controversy,controversy,1,3.68006027258541
Rockstar fires 30+ staff; union-busting controversy,controversy,2,1.512608611641815
Rockstar fires 30+ staff; union-busting controversy,controversy,3,1.012974736903363
Rockstar fires 30+ staff; union-busting controversy,controversy,4,0.8639676602139637
Second delay announced (May 2026 -> Nov 2026),official,-4,0.7455888454470369
Second delay announced (May 2026 -> Nov 2026),official,-3,0.6857500349926012
Second delay announced (May 2026 -> Nov 2026),official,-2,1.1703309239265236
Second delay announced (May 2026 -> Nov 2026),official,-1,1.398330195633838
Second delay announced (May 2026 -> Nov 2026),official,0,3.0792954711105205
Second delay announced (May 2026 -> Nov 2026),official,1,1.2656773265615888
Second delay announced (May 2026 -> Nov 2026),official,2,0.8476079978724052
Second delay announced (May 2026 -> Nov 2026),official,3,0.7229261224609648
Second delay announced (May 2026 -> Nov 2026),official,4,0.6590171798935677
Best Buy marketing email leak fuels pre-order speculation,rumor,-4,0.5697945416976984
Best Buy marketing email leak fuels pre-order speculation,rumor,-3,1.6640309498496846
Best Buy marketing email leak fuels pre-order speculation,rumor,-2,0.8423462643168282
Best Buy marketing email leak fuels pre-order speculation,rumor,-1,0.923828244135789
Best Buy marketing email leak fuels pre-order speculation,rumor,0,1.8232684281315608
Best Buy marketing email leak fuels pre-order speculation,rumor,1,1.0242793022111785
Best Buy marketing email leak fuels pre-order speculation,rumor,2,0.6825187412037197
Best Buy marketing email leak fuels pre-order speculation,rumor,3,1.0711882613437238
Best Buy marketing email leak fuels pre-order speculation,rumor,4,1.271298790336715
Take-Two earnings call locks in release calendar (no further delay),official,-4,1.266994743532839
Take-Two earnings call locks in release calendar (no further delay),official,-3,0.6413632446081315
Take-Two earnings call locks in release calendar (no further delay),official,-2,0.7034037013271595
Take-Two earnings call locks in release calendar (no further delay),official,-1,1.38823831053187
Take-Two earnings call locks in release calendar (no further delay),official,0,0.7798872322226197
Take-Two earnings call locks in release calendar (no further delay),official,1,0.5196704169149482
Take-Two earnings call locks in release calendar (no further delay),official,2,0.8156037581988345
Take-Two earnings call locks in release calendar (no further delay),official,3,0.9679681047770026
Take-Two earnings call locks in release calendar (no further delay),official,4,4.15659768370645
Official cover art revealed,official,-4,1.0118124835930455
Official cover art revealed,official,-3,0.6742115955534126
Official cover art revealed,official,-2,1.0581504993473458
Official cover art revealed,official,-1,1.2558254215061964
Official cover art revealed,official,0,5.392699420994756
Official cover art revealed,official,1,4.543071123288224
Official cover art revealed,official,2,1.4071440571855522
Official cover art revealed,official,3,1.017887118138973
Official cover art revealed,official,4,0.6415981463422843
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-4,1.0118124835930455
Promo site updated with Ultimate Edition and Vintage Vice City Pack,marketing,-3,0.6742115955534126
