title,vader_label,vader_compound,transformer_label,has_contrast_marker
The Official GTA 6 Release Date..!,positive,0.6535,neutral,False
GTA 6 Releases Soon,negative,-0.3182,neutral,False
GTA6 Release Date Confirmed!,neutral,0.0,positive,False
3 Secret Leaks of GTA VI 🔥 Gamerz GTA 6 #shorts #short #shortsvideo,negative,-0.5859,neutral,False
Everyone After The GTA 6 Trailer...,negative,-0.1984,neutral,False
Grand Theft Auto VI Trailer 1,positive,0.8779,neutral,False
GTA 6 Trailer 1,positive,0.5859,neutral,False
GRAND THEFT AUTO VI - TRAILER #01 (VOSTFR),positive,0.8422,neutral,False
Grand Theft Auto VI Trailer 1,positive,0.8176,neutral,False
Grand Theft Auto VI Official  Trailer 1,positive,0.802,neutral,False
Grand Theft Auto VI Trailer 1 (GTA 6) - Sub Español,positive,0.8402,neutral,False
Tiny details you missed in the GTA VI trailer,negative,-0.5267,neutral,False
GTA 6 (Grand Theft Auto) Official Trailer 1 by Rockstar games,positive,0.8779,neutral,False
Streamers react (cry) to GTA 6 release date,negative,-0.7351,neutral,False
Kai Cenat Reacts To GTA 6 Release Date! 😭🎮,negative,-0.8877,neutral,False
GTA VI - Trailer DUBLADO em PT BR - 4K,positive,0.4342,neutral,False
GTA 6 Trailer vs Real Life Comparison,positive,0.7717,neutral,False
Grand Theft Auto 6 - DF Direct GTA 6 Special - Trailer 1 Tech Breakdown,positive,0.9239,neutral,False
GTA VI Trailer (Gta 6) - PS5 vs PS1 Graphics,negative,-0.296,neutral,False
GTA 6 Theory...,positive,0.296,neutral,False
The wait until 2025 is going to be hard! #gta6 #gta,positive,0.3365,neutral,False
"GTA VI Trailer with Franklin, Michael and Trevor",positive,0.5244,neutral,False
What it'll be Like When GTA 6 Releases,positive,0.6124,neutral,False
GTA 6 Might Be DELAYED 😭🚨,negative,-0.7481,neutral,False
GTA 6 Won't Be Released,positive,0.2003,neutral,False
"GTA 6 will launch only on PS5, Xbox X/S",positive,0.2846,neutral,False
POV: GTA 6 Delayed to 2026,negative,-0.4215,neutral,False
Will GTA 6 Release on PC? Here's the Truth! 💻🎮,positive,0.8867,neutral,False
Kai Cenat Reacts To GTA 6 Being Delayed To 2026! 😳,negative,-0.7067,neutral,False
Why they delayed Grand Theft Auto 6 #gta6 #delayed,positive,0.4939,negative,False
