cluster,top_terms
-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay"
1,"vi extended, extended look, auto vi, extended, look, look playing, grand, grand theft"
2,"extended look, extended, look, gta extended, gta, gameplay, gta6 extended, vs gta"
3,"cover art, art, cover, gta cover, pre orders, orders, pre, gta"
4,"pre, pre order, order, gta pre, order gta, gta, orders, pre orders"
5,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi"
8,"vs, trailer vs, vs gta, comparison, trailer, gta trailer, gta comparison, gta"
