signals,n_signals,spikes_detected,events_total,events_caught,precision,recall,f1
Google Trends + Wikipedia,2,28,19,16,0.464,0.842,0.599
Google Trends + Wikipedia + YouTube (creator activity) + YouTube (audience engagement),4,25,19,16,0.44,0.842,0.578
Google Trends + Wikipedia + YouTube (creator activity),3,30,19,16,0.433,0.842,0.572
Google Trends + YouTube (creator activity),2,27,19,14,0.407,0.737,0.525
Wikipedia + YouTube (creator activity),2,28,19,15,0.393,0.789,0.525
YouTube (creator activity),1,24,19,13,0.417,0.684,0.518
Google Trends + Wikipedia + YouTube (audience engagement),3,23,19,14,0.391,0.737,0.511
Google Trends,1,24,19,15,0.375,0.789,0.508
Wikipedia,1,32,19,15,0.375,0.789,0.508
Wikipedia + YouTube (creator activity) + YouTube (audience engagement),3,28,19,13,0.357,0.684,0.469
Google Trends + YouTube (creator activity) + YouTube (audience engagement),3,22,19,11,0.364,0.579,0.447
YouTube (creator activity) + YouTube (audience engagement),2,20,19,10,0.35,0.526,0.42
Google Trends + YouTube (audience engagement),2,20,19,13,0.3,0.684,0.417
Wikipedia + YouTube (audience engagement),2,24,19,8,0.25,0.421,0.314
YouTube (audience engagement),1,16,19,3,0.188,0.158,0.171
