video_id,title,published_at,view_count,topic_cluster,topic_terms,vader_compound,vader_label,transformer_label,sentiment_agree,sentiment_label,sentiment_compound
pA4PB5rBNu8,The Official GTA 6 Release Date..!,2023-05-21 19:30:05,2828877,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",0.6535,positive,neutral,False,positive,0.6535
yZw-ty4VTds,How GTA 5 Will Be When GTA 6 Comes Out,2023-05-31 23:24:30,11541493,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.0,neutral,neutral,True,neutral,0.0
T6QFmqEhsSU,GTA 6 Releases Soon,2023-06-13 16:52:36,15488283,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",-0.3182,negative,neutral,False,negative,-0.3182
nkXyCDC5Z48,GTA6 Release Date Confirmed!,2023-09-13 23:32:56,970309,6,"release, release date, date, gta release, gta, date confirmed, gta releases, releases",0.0,neutral,positive,False,neutral,0.0
M478xUz1BTc,3 Secret Leaks of GTA VI 🔥 Gamerz GTA 6 #shorts #short #shortsvideo,2023-11-12 02:38:27,5721364,0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay",-0.5859,negative,neutral,False,negative,-0.5859
BxtTNvzkPpk,Everyone After The GTA 6 Trailer...,2023-12-03 17:31:02,9084192,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.1984,negative,neutral,False,negative,-0.1984
QdBZY2fkU-0,Grand Theft Auto VI Trailer 1,2023-12-04 23:07:10,295092566,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.8779,positive,neutral,False,positive,0.8779
VMUa7xBMaoY,GTA 6 Trailer 1,2023-12-04 23:11:27,1124944,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.5859,positive,neutral,False,positive,0.5859
BrM67gJw2BA,GRAND THEFT AUTO VI - TRAILER #01 (VOSTFR),2023-12-04 23:14:31,102383,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.8422,positive,neutral,False,positive,0.8422
eOrb93UZfPU,GTA 6 (Grand Theft Auto VI) - Official Trailer,2023-12-04 23:18:08,6752825,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.9198,positive,positive,True,positive,0.9198
ZvqP6ziEQ3Y,Grand Theft Auto VI Trailer 1,2023-12-04 23:18:21,324674,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.8176,positive,neutral,False,positive,0.8176
hInt-5wzjUs,Grand Theft Auto VI Official  Trailer 1,2023-12-05 03:23:53,488,7,"trailer, theft auto, theft, grand theft, grand, auto, auto vi, vi",0.802,positive,neutral,False,positive,0.802
FomR02IqaDY,Grand Theft Auto VI Trailer 1 (GTA 6) - Sub Español,2023-12-05 03:44:52,7927,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.8402,positive,neutral,False,positive,0.8402
1jbkfE9FqFc,Tiny details you missed in the GTA VI trailer,2023-12-05 03:53:21,1860637,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.5267,negative,neutral,False,negative,-0.5267
7yiPFKJa1hQ,GTA 6 (Grand Theft Auto) Official Trailer 1 by Rockstar games,2023-12-05 03:54:39,22326,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.8779,positive,neutral,False,positive,0.8779
SYGTRumtdfY,GTA 6 IS CRAZY (Trailer Reaction),2023-12-05 05:51:31,3207842,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9676,positive,positive,True,positive,0.9676
exLUmtajc0Y,Streamers react (cry) to GTA 6 release date,2023-12-05 06:02:52,1402028,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.7351,negative,neutral,False,negative,-0.7351
GOht52X9f1U,GTA 6 Trailer 1 • Reaction,2023-12-05 07:48:08,218633,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.891,positive,positive,True,positive,0.891
1YR3TqjKcJs,Kai Cenat Reacts To GTA 6 Release Date! 😭🎮,2023-12-05 19:15:00,632891,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",-0.8877,negative,neutral,False,negative,-0.8877
ae-mpZQLM7w,GTA VI - Trailer DUBLADO em PT BR - 4K,2023-12-05 23:15:00,1311706,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.4342,positive,neutral,False,positive,0.4342
RdWjeMemQmU,Photoshop Ai completes: GRAND THEFT AUTO VI Cover Art [Generative Fill] #gta6 #generativeai,2023-12-05 23:35:48,1419878,-1,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)",0.9599,positive,positive,True,positive,0.9599
