date,avg_sentiment,video_count,dominant_topic_cluster,dominant_topic_terms
2023-05-21,0.6535,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2023-05-28,,0,,
2023-06-04,0.0,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2023-06-11,,0,,
2023-06-18,-0.3182,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2023-06-25,,0,,
2023-07-02,,0,,
2023-07-09,,0,,
2023-07-16,,0,,
2023-07-23,,0,,
2023-07-30,,0,,
2023-08-06,,0,,
2023-08-13,,0,,
2023-08-20,,0,,
2023-08-27,,0,,
2023-09-03,,0,,
2023-09-10,,0,,
2023-09-17,0.0,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2023-09-24,,0,,
2023-10-01,,0,,
2023-10-08,,0,,
2023-10-15,,0,,
2023-10-22,,0,,
2023-10-29,,0,,
2023-11-05,,0,,
2023-11-12,-0.5859,1,0.0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay"
2023-11-19,,0,,
2023-11-26,,0,,
2023-12-03,-0.1984,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2023-12-10,0.49275263157894733,19,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2023-12-17,-0.09509999999999996,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2023-12-24,,0,,
2023-12-31,,0,,
2024-01-07,,0,,
2024-01-14,,0,,
2024-01-21,,0,,
2024-01-28,,0,,
2024-02-04,,0,,
2024-02-11,0.0,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2024-02-18,,0,,
2024-02-25,,0,,
2024-03-03,,0,,
2024-03-10,0.0,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2024-03-17,,0,,
2024-03-24,,0,,
2024-03-31,,0,,
2024-04-07,,0,,
2024-04-14,0.7088,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2024-04-21,,0,,
2024-04-28,0.5244,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2024-05-05,,0,,
2024-05-12,,0,,
2024-05-19,,0,,
2024-05-26,,0,,
2024-06-02,,0,,
2024-06-09,,0,,
2024-06-16,-0.9451,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2024-06-23,,0,,
2024-06-30,,0,,
2024-07-07,,0,,
2024-07-14,,0,,
2024-07-21,,0,,
2024-07-28,,0,,
2024-08-04,,0,,
2024-08-11,,0,,
2024-08-18,,0,,
2024-08-25,,0,,
2024-09-01,,0,,
2024-09-08,,0,,
2024-09-15,,0,,
2024-09-22,,0,,
2024-09-29,,0,,
2024-10-06,,0,,
2024-10-13,0.6124,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2024-10-20,,0,,
2024-10-27,,0,,
2024-11-03,,0,,
2024-11-10,,0,,
2024-11-17,,0,,
2024-11-24,,0,,
2024-12-01,,0,,
2024-12-08,-0.7481,1,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2024-12-15,,0,,
2024-12-22,,0,,
2024-12-29,,0,,
2025-01-05,,0,,
2025-01-12,,0,,
2025-01-19,,0,,
2025-01-26,,0,,
2025-02-02,,0,,
2025-02-09,,0,,
2025-02-16,0.19403333333333336,3,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-02-23,0.0,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-03-02,,0,,
2025-03-09,0.2846,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-03-16,,0,,
2025-03-23,,0,,
2025-03-30,0.7531,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-04-06,-0.8402,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-04-13,,0,,
2025-04-20,,0,,
2025-04-27,0.2003,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-05-04,-0.18551428571428571,7,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-05-11,-0.06520000000000002,49,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-05-18,0.2824142857142857,7,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-05-25,-0.0053666666666666585,6,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-06-01,-0.8031,1,0.0,"leaked, gameplay leaked, gameplay, gta, leaks, gta gameplay, gta leaked, leaked gameplay"
2025-06-08,-0.10585,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-06-15,0.0,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-06-22,-0.66245,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-06-29,0.0,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-07-06,0.85995,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-07-13,,0,,
2025-07-20,,0,,
2025-07-27,,0,,
2025-08-03,-0.8647,1,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-08-10,-0.4215,1,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-08-17,-0.3182,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2025-08-24,0.8221,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-08-31,0.0,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2025-09-07,0.7263,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-14,0.25248,5,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-21,-0.01815,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-09-28,,0,,
2025-10-05,0.06585000000000002,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-10-12,0.3592,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-10-19,,0,,
2025-10-26,-0.02846666666666668,3,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-02,-0.89395,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-09,-0.284975,16,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-11-16,-0.29147500000000004,4,5.0,"delayed, gta delayed, gta, 2026, delay, delayed 2026, delayed november, november"
2025-11-23,0.85385,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2025-11-30,0.9112,1,6.0,"release, release date, date, gta release, gta, date confirmed, gta releases, releases"
2025-12-07,,0,,
2025-12-14,,0,,
2025-12-21,,0,,
2025-12-28,,0,,
2026-01-04,,0,,
2026-01-11,,0,,
2026-01-18,,0,,
2026-01-25,,0,,
2026-02-01,-0.7003,1,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-02-08,0.7814000000000001,2,-1.0,"UNCLUSTERED (gta, trailer, vi, gameplay, gta vi, gta trailer, look, auto)"
2026-02-15,,0,,
2026-02-22,,0,,
2026-03-01,,0,,
2026-03-08,,0,,
