date,interest,keyword,geo
2023-01-01,1,GTA VI,GB
2023-01-08,0,GTA VI,GB
2023-01-15,0,GTA VI,GB
2023-01-22,1,GTA VI,GB
2023-01-29,2,GTA VI,GB
2023-02-05,2,GTA VI,GB
2023-02-12,0,GTA VI,GB
2023-02-19,1,GTA VI,GB
2023-02-26,0,GTA VI,GB
2023-03-05,1,GTA VI,GB
2023-03-12,1,GTA VI,GB
2023-03-19,1,GTA VI,GB
2023-03-26,1,GTA VI,GB
2023-04-02,1,GTA VI,GB
2023-04-09,1,GTA VI,GB
2023-04-16,1,GTA VI,GB
2023-04-23,1,GTA VI,GB
2023-04-30,1,GTA VI,GB
2023-05-07,1,GTA VI,GB
2023-05-14,1,GTA VI,GB
2023-05-21,1,GTA VI,GB
2023-05-28,1,GTA VI,GB
2023-06-04,1,GTA VI,GB
2023-06-11,1,GTA VI,GB
2023-06-18,1,GTA VI,GB
2023-06-25,1,GTA VI,GB
2023-07-02,0,GTA VI,GB
2023-07-09,1,GTA VI,GB
2023-07-16,1,GTA VI,GB
2023-07-23,1,GTA VI,GB
2023-07-30,1,GTA VI,GB
2023-08-06,1,GTA VI,GB
2023-08-13,1,GTA VI,GB
2023-08-20,1,GTA VI,GB
2023-08-27,1,GTA VI,GB
2023-09-03,1,GTA VI,GB
2023-09-10,1,GTA VI,GB
2023-09-17,1,GTA VI,GB
2023-09-24,1,GTA VI,GB
2023-10-01,1,GTA VI,GB
2023-10-08,1,GTA VI,GB
2023-10-15,1,GTA VI,GB
2023-10-22,4,GTA VI,GB
2023-10-29,1,GTA VI,GB
2023-11-05,6,GTA VI,GB
2023-11-12,3,GTA VI,GB
2023-11-19,3,GTA VI,GB
2023-11-26,3,GTA VI,GB
2023-12-03,25,GTA VI,GB
2023-12-10,4,GTA VI,GB
2023-12-17,3,GTA VI,GB
2023-12-24,2,GTA VI,GB
2023-12-31,1,GTA VI,GB
2024-01-07,1,GTA VI,GB
2024-01-14,1,GTA VI,GB
2024-01-21,1,GTA VI,GB
2024-01-28,1,GTA VI,GB
2024-02-04,1,GTA VI,GB
2024-02-11,1,GTA VI,GB
2024-02-18,1,GTA VI,GB
2024-02-25,1,GTA VI,GB
2024-03-03,1,GTA VI,GB
2024-03-10,1,GTA VI,GB
2024-03-17,1,GTA VI,GB
2024-03-24,1,GTA VI,GB
2024-03-31,1,GTA VI,GB
2024-04-07,1,GTA VI,GB
2024-04-14,1,GTA VI,GB
2024-04-21,1,GTA VI,GB
2024-04-28,1,GTA VI,GB
2024-05-05,1,GTA VI,GB
2024-05-12,1,GTA VI,GB
2024-05-19,1,GTA VI,GB
2024-05-26,1,GTA VI,GB
2024-06-02,1,GTA VI,GB
2024-06-09,1,GTA VI,GB
2024-06-16,1,GTA VI,GB
2024-06-23,1,GTA VI,GB
2024-06-30,1,GTA VI,GB
2024-07-07,1,GTA VI,GB
2024-07-14,1,GTA VI,GB
2024-07-21,1,GTA VI,GB
2024-07-28,1,GTA VI,GB
2024-08-04,1,GTA VI,GB
2024-08-11,1,GTA VI,GB
2024-08-18,1,GTA VI,GB
2024-08-25,1,GTA VI,GB
2024-09-01,1,GTA VI,GB
2024-09-08,1,GTA VI,GB
2024-09-15,1,GTA VI,GB
2024-09-22,1,GTA VI,GB
2024-09-29,1,GTA VI,GB
2024-10-06,1,GTA VI,GB
2024-10-13,1,GTA VI,GB
2024-10-20,1,GTA VI,GB
2024-10-27,1,GTA VI,GB
2024-11-03,1,GTA VI,GB
2024-11-10,1,GTA VI,GB
2024-11-17,1,GTA VI,GB
2024-11-24,2,GTA VI,GB
2024-12-01,2,GTA VI,GB
2024-12-08,2,GTA VI,GB
2024-12-15,2,GTA VI,GB
2024-12-22,3,GTA VI,GB
2024-12-29,3,GTA VI,GB
2025-01-05,2,GTA VI,GB
2025-01-12,2,GTA VI,GB
2025-01-19,2,GTA VI,GB
2025-01-26,2,GTA VI,GB
2025-02-02,2,GTA VI,GB
2025-02-09,2,GTA VI,GB
2025-02-16,2,GTA VI,GB
2025-02-23,2,GTA VI,GB
2025-03-02,2,GTA VI,GB
2025-03-09,2,GTA VI,GB
2025-03-16,2,GTA VI,GB
2025-03-23,2,GTA VI,GB
2025-03-30,2,GTA VI,GB
2025-04-06,2,GTA VI,GB
2025-04-13,2,GTA VI,GB
2025-04-20,1,GTA VI,GB
2025-04-27,4,GTA VI,GB
2025-05-04,16,GTA VI,GB
2025-05-11,5,GTA VI,GB
2025-05-18,3,GTA VI,GB
2025-05-25,2,GTA VI,GB
2025-06-01,1,GTA VI,GB
2025-06-08,2,GTA VI,GB
2025-06-15,1,GTA VI,GB
2025-06-22,2,GTA VI,GB
2025-06-29,1,GTA VI,GB
2025-07-06,1,GTA VI,GB
2025-07-13,1,GTA VI,GB
2025-07-20,1,GTA VI,GB
2025-07-27,1,GTA VI,GB
2025-08-03,2,GTA VI,GB
2025-08-10,1,GTA VI,GB
2025-08-17,1,GTA VI,GB
2025-08-24,1,GTA VI,GB
2025-08-31,1,GTA VI,GB
2025-09-07,1,GTA VI,GB
2025-09-14,1,GTA VI,GB
2025-09-21,2,GTA VI,GB
2025-09-28,1,GTA VI,GB
2025-10-05,1,GTA VI,GB
2025-10-12,2,GTA VI,GB
2025-10-19,1,GTA VI,GB
2025-10-26,3,GTA VI,GB
2025-11-02,7,GTA VI,GB
2025-11-09,3,GTA VI,GB
2025-11-16,2,GTA VI,GB
2025-11-23,1,GTA VI,GB
2025-11-30,2,GTA VI,GB
2025-12-07,2,GTA VI,GB
2025-12-14,2,GTA VI,GB
2025-12-21,2,GTA VI,GB
2025-12-28,2,GTA VI,GB
2026-01-04,2,GTA VI,GB
2026-01-11,2,GTA VI,GB
2026-01-18,2,GTA VI,GB
2026-01-25,2,GTA VI,GB
2026-02-01,3,GTA VI,GB
2026-02-08,2,GTA VI,GB
2026-02-15,2,GTA VI,GB
2026-02-22,2,GTA VI,GB
2026-03-01,5,GTA VI,GB
2026-03-08,2,GTA VI,GB
2026-03-15,5,GTA VI,GB
2026-03-22,5,GTA VI,GB
2026-03-29,6,GTA VI,GB
2026-04-05,7,GTA VI,GB
2026-04-12,5,GTA VI,GB
2026-04-19,6,GTA VI,GB
2026-04-26,10,GTA VI,GB
2026-05-03,6,GTA VI,GB
2026-05-10,10,GTA VI,GB
2026-05-17,10,GTA VI,GB
2026-05-24,5,GTA VI,GB
2026-05-31,3,GTA VI,GB
2026-06-07,3,GTA VI,GB
2026-06-14,22,GTA VI,GB
2026-06-21,100,GTA VI,GB
2026-06-28,27,GTA VI,GB
2026-07-05,8,GTA VI,GB
2026-07-12,8,GTA VI,GB
2026-07-19,7,GTA VI,GB
2026-07-26,8,GTA VI,GB
2026-08-02,29,GTA VI,GB
2026-08-09,22,GTA VI,GB
2026-08-16,32,GTA VI,GB
2026-08-23,64,GTA VI,GB
2026-08-30,38,GTA VI,GB
2026-09-06,29,GTA VI,GB
