date,interest,keyword,geo
2023-01-01,0,GTA VI,VN
2023-01-08,0,GTA VI,VN
2023-01-15,0,GTA VI,VN
2023-01-22,0,GTA VI,VN
2023-01-29,0,GTA VI,VN
2023-02-05,0,GTA VI,VN
2023-02-12,0,GTA VI,VN
2023-02-19,0,GTA VI,VN
2023-02-26,0,GTA VI,VN
2023-03-05,0,GTA VI,VN
2023-03-12,0,GTA VI,VN
2023-03-19,0,GTA VI,VN
2023-03-26,0,GTA VI,VN
2023-04-02,0,GTA VI,VN
2023-04-09,0,GTA VI,VN
2023-04-16,0,GTA VI,VN
2023-04-23,10,GTA VI,VN
2023-04-30,0,GTA VI,VN
2023-05-07,0,GTA VI,VN
2023-05-14,8,GTA VI,VN
2023-05-21,0,GTA VI,VN
2023-05-28,0,GTA VI,VN
2023-06-04,0,GTA VI,VN
2023-06-11,0,GTA VI,VN
2023-06-18,0,GTA VI,VN
2023-06-25,8,GTA VI,VN
2023-07-02,0,GTA VI,VN
2023-07-09,8,GTA VI,VN
2023-07-16,0,GTA VI,VN
2023-07-23,0,GTA VI,VN
2023-07-30,0,GTA VI,VN
2023-08-06,0,GTA VI,VN
2023-08-13,0,GTA VI,VN
2023-08-20,0,GTA VI,VN
2023-08-27,0,GTA VI,VN
2023-09-03,0,GTA VI,VN
2023-09-10,0,GTA VI,VN
2023-09-17,0,GTA VI,VN
2023-09-24,0,GTA VI,VN
2023-10-01,10,GTA VI,VN
2023-10-08,0,GTA VI,VN
2023-10-15,0,GTA VI,VN
2023-10-22,0,GTA VI,VN
2023-10-29,0,GTA VI,VN
2023-11-05,8,GTA VI,VN
2023-11-12,0,GTA VI,VN
2023-11-19,0,GTA VI,VN
2023-11-26,0,GTA VI,VN
2023-12-03,72,GTA VI,VN
2023-12-10,25,GTA VI,VN
2023-12-17,15,GTA VI,VN
2023-12-24,0,GTA VI,VN
2023-12-31,11,GTA VI,VN
2024-01-07,0,GTA VI,VN
2024-01-14,0,GTA VI,VN
2024-01-21,0,GTA VI,VN
2024-01-28,10,GTA VI,VN
2024-02-04,0,GTA VI,VN
2024-02-11,0,GTA VI,VN
2024-02-18,0,GTA VI,VN
2024-02-25,0,GTA VI,VN
2024-03-03,0,GTA VI,VN
2024-03-10,0,GTA VI,VN
2024-03-17,0,GTA VI,VN
2024-03-24,0,GTA VI,VN
2024-03-31,0,GTA VI,VN
2024-04-07,0,GTA VI,VN
2024-04-14,0,GTA VI,VN
2024-04-21,0,GTA VI,VN
2024-04-28,0,GTA VI,VN
2024-05-05,0,GTA VI,VN
2024-05-12,0,GTA VI,VN
2024-05-19,0,GTA VI,VN
2024-05-26,0,GTA VI,VN
2024-06-02,0,GTA VI,VN
2024-06-09,0,GTA VI,VN
2024-06-16,11,GTA VI,VN
2024-06-23,0,GTA VI,VN
2024-06-30,0,GTA VI,VN
2024-07-07,0,GTA VI,VN
2024-07-14,0,GTA VI,VN
2024-07-21,0,GTA VI,VN
2024-07-28,0,GTA VI,VN
2024-08-04,0,GTA VI,VN
2024-08-11,12,GTA VI,VN
2024-08-18,0,GTA VI,VN
2024-08-25,0,GTA VI,VN
2024-09-01,0,GTA VI,VN
2024-09-08,0,GTA VI,VN
2024-09-15,0,GTA VI,VN
2024-09-22,0,GTA VI,VN
2024-09-29,0,GTA VI,VN
2024-10-06,0,GTA VI,VN
2024-10-13,0,GTA VI,VN
2024-10-20,0,GTA VI,VN
2024-10-27,0,GTA VI,VN
2024-11-03,0,GTA VI,VN
2024-11-10,0,GTA VI,VN
2024-11-17,0,GTA VI,VN
2024-11-24,0,GTA VI,VN
2024-12-01,0,GTA VI,VN
2024-12-08,15,GTA VI,VN
2024-12-15,0,GTA VI,VN
2024-12-22,0,GTA VI,VN
2024-12-29,0,GTA VI,VN
2025-01-05,11,GTA VI,VN
2025-01-12,0,GTA VI,VN
2025-01-19,0,GTA VI,VN
2025-01-26,0,GTA VI,VN
2025-02-02,0,GTA VI,VN
2025-02-09,0,GTA VI,VN
2025-02-16,0,GTA VI,VN
2025-02-23,10,GTA VI,VN
2025-03-02,0,GTA VI,VN
2025-03-09,11,GTA VI,VN
2025-03-16,0,GTA VI,VN
2025-03-23,0,GTA VI,VN
2025-03-30,10,GTA VI,VN
2025-04-06,0,GTA VI,VN
2025-04-13,0,GTA VI,VN
2025-04-20,0,GTA VI,VN
2025-04-27,13,GTA VI,VN
2025-05-04,48,GTA VI,VN
2025-05-11,40,GTA VI,VN
2025-05-18,0,GTA VI,VN
2025-05-25,10,GTA VI,VN
2025-06-01,0,GTA VI,VN
2025-06-08,11,GTA VI,VN
2025-06-15,0,GTA VI,VN
2025-06-22,13,GTA VI,VN
2025-06-29,0,GTA VI,VN
2025-07-06,12,GTA VI,VN
2025-07-13,0,GTA VI,VN
2025-07-20,0,GTA VI,VN
2025-07-27,0,GTA VI,VN
2025-08-03,0,GTA VI,VN
2025-08-10,0,GTA VI,VN
2025-08-17,12,GTA VI,VN
2025-08-24,0,GTA VI,VN
2025-08-31,0,GTA VI,VN
2025-09-07,0,GTA VI,VN
2025-09-14,0,GTA VI,VN
2025-09-21,0,GTA VI,VN
2025-09-28,0,GTA VI,VN
2025-10-05,0,GTA VI,VN
2025-10-12,0,GTA VI,VN
2025-10-19,0,GTA VI,VN
2025-10-26,0,GTA VI,VN
2025-11-02,17,GTA VI,VN
2025-11-09,0,GTA VI,VN
2025-11-16,0,GTA VI,VN
2025-11-23,0,GTA VI,VN
2025-11-30,0,GTA VI,VN
2025-12-07,13,GTA VI,VN
2025-12-14,10,GTA VI,VN
2025-12-21,0,GTA VI,VN
2025-12-28,16,GTA VI,VN
2026-01-04,0,GTA VI,VN
2026-01-11,0,GTA VI,VN
2026-01-18,12,GTA VI,VN
2026-01-25,10,GTA VI,VN
2026-02-01,0,GTA VI,VN
2026-02-08,0,GTA VI,VN
2026-02-15,0,GTA VI,VN
2026-02-22,0,GTA VI,VN
2026-03-01,0,GTA VI,VN
2026-03-08,11,GTA VI,VN
2026-03-15,0,GTA VI,VN
2026-03-22,10,GTA VI,VN
2026-03-29,30,GTA VI,VN
2026-04-05,19,GTA VI,VN
2026-04-12,10,GTA VI,VN
2026-04-19,0,GTA VI,VN
2026-04-26,13,GTA VI,VN
2026-05-03,13,GTA VI,VN
2026-05-10,0,GTA VI,VN
2026-05-17,0,GTA VI,VN
2026-05-24,9,GTA VI,VN
2026-05-31,13,GTA VI,VN
2026-06-07,11,GTA VI,VN
2026-06-14,41,GTA VI,VN
2026-06-21,100,GTA VI,VN
2026-06-28,44,GTA VI,VN
2026-07-05,26,GTA VI,VN
2026-07-12,17,GTA VI,VN
2026-07-19,14,GTA VI,VN
2026-07-26,15,GTA VI,VN
2026-08-02,21,GTA VI,VN
2026-08-09,21,GTA VI,VN
2026-08-16,38,GTA VI,VN
2026-08-23,89,GTA VI,VN
2026-08-30,82,GTA VI,VN
2026-09-06,66,GTA VI,VN
