date,interest,keyword,geo
2023-01-01,2,GTA VI,worldwide
2023-01-08,3,GTA VI,worldwide
2023-01-15,1,GTA VI,worldwide
2023-01-22,0,GTA VI,worldwide
2023-01-29,3,GTA VI,worldwide
2023-02-05,1,GTA VI,worldwide
2023-02-12,0,GTA VI,worldwide
2023-02-19,3,GTA VI,worldwide
2023-02-26,1,GTA VI,worldwide
2023-03-05,2,GTA VI,worldwide
2023-03-12,0,GTA VI,worldwide
2023-03-19,0,GTA VI,worldwide
2023-03-26,1,GTA VI,worldwide
2023-04-02,2,GTA VI,worldwide
2023-04-09,1,GTA VI,worldwide
2023-04-16,0,GTA VI,worldwide
2023-04-23,0,GTA VI,worldwide
2023-04-30,1,GTA VI,worldwide
2023-05-07,3,GTA VI,worldwide
2023-05-14,4,GTA VI,worldwide
2023-05-21,2,GTA VI,worldwide
2023-05-28,1,GTA VI,worldwide
2023-06-04,2,GTA VI,worldwide
2023-06-11,1,GTA VI,worldwide
2023-06-18,3,GTA VI,worldwide
2023-06-25,0,GTA VI,worldwide
2023-07-02,2,GTA VI,worldwide
2023-07-09,1,GTA VI,worldwide
2023-07-16,1,GTA VI,worldwide
2023-07-23,0,GTA VI,worldwide
2023-07-30,0,GTA VI,worldwide
2023-08-06,2,GTA VI,worldwide
2023-08-13,2,GTA VI,worldwide
2023-08-20,3,GTA VI,worldwide
2023-08-27,1,GTA VI,worldwide
2023-09-03,1,GTA VI,worldwide
2023-09-10,0,GTA VI,worldwide
2023-09-17,0,GTA VI,worldwide
2023-09-24,1,GTA VI,worldwide
2023-10-01,4,GTA VI,worldwide
2023-10-08,2,GTA VI,worldwide
2023-10-15,3,GTA VI,worldwide
2023-10-22,8,GTA VI,worldwide
2023-10-29,3,GTA VI,worldwide
2023-11-05,19,GTA VI,worldwide
2023-11-12,5,GTA VI,worldwide
2023-11-19,3,GTA VI,worldwide
2023-11-26,7,GTA VI,worldwide
2023-12-03,53,GTA VI,worldwide
2023-12-10,10,GTA VI,worldwide
2023-12-17,5,GTA VI,worldwide
2023-12-24,6,GTA VI,worldwide
2023-12-31,3,GTA VI,worldwide
2024-01-07,2,GTA VI,worldwide
2024-01-14,2,GTA VI,worldwide
2024-01-21,2,GTA VI,worldwide
2024-01-28,2,GTA VI,worldwide
2024-02-04,2,GTA VI,worldwide
2024-02-11,2,GTA VI,worldwide
2024-02-18,0,GTA VI,worldwide
2024-02-25,2,GTA VI,worldwide
2024-03-03,3,GTA VI,worldwide
2024-03-10,2,GTA VI,worldwide
2024-03-17,2,GTA VI,worldwide
2024-03-24,2,GTA VI,worldwide
2024-03-31,0,GTA VI,worldwide
2024-04-07,1,GTA VI,worldwide
2024-04-14,1,GTA VI,worldwide
2024-04-21,1,GTA VI,worldwide
2024-04-28,2,GTA VI,worldwide
2024-05-05,2,GTA VI,worldwide
2024-05-12,2,GTA VI,worldwide
2024-05-19,3,GTA VI,worldwide
2024-05-26,2,GTA VI,worldwide
2024-06-02,2,GTA VI,worldwide
2024-06-09,2,GTA VI,worldwide
2024-06-16,0,GTA VI,worldwide
2024-06-23,2,GTA VI,worldwide
2024-06-30,2,GTA VI,worldwide
2024-07-07,2,GTA VI,worldwide
2024-07-14,2,GTA VI,worldwide
2024-07-21,2,GTA VI,worldwide
2024-07-28,2,GTA VI,worldwide
2024-08-04,2,GTA VI,worldwide
2024-08-11,2,GTA VI,worldwide
2024-08-18,2,GTA VI,worldwide
2024-08-25,2,GTA VI,worldwide
2024-09-01,2,GTA VI,worldwide
2024-09-08,3,GTA VI,worldwide
2024-09-15,2,GTA VI,worldwide
2024-09-22,2,GTA VI,worldwide
2024-09-29,2,GTA VI,worldwide
2024-10-06,0,GTA VI,worldwide
2024-10-13,2,GTA VI,worldwide
2024-10-20,1,GTA VI,worldwide
2024-10-27,2,GTA VI,worldwide
2024-11-03,2,GTA VI,worldwide
2024-11-10,3,GTA VI,worldwide
2024-11-17,3,GTA VI,worldwide
2024-11-24,4,GTA VI,worldwide
2024-12-01,3,GTA VI,worldwide
2024-12-08,3,GTA VI,worldwide
2024-12-15,2,GTA VI,worldwide
2024-12-22,4,GTA VI,worldwide
2024-12-29,8,GTA VI,worldwide
2025-01-05,6,GTA VI,worldwide
2025-01-12,3,GTA VI,worldwide
2025-01-19,3,GTA VI,worldwide
2025-01-26,6,GTA VI,worldwide
2025-02-02,4,GTA VI,worldwide
2025-02-09,3,GTA VI,worldwide
2025-02-16,3,GTA VI,worldwide
2025-02-23,6,GTA VI,worldwide
2025-03-02,5,GTA VI,worldwide
2025-03-09,3,GTA VI,worldwide
2025-03-16,3,GTA VI,worldwide
2025-03-23,3,GTA VI,worldwide
2025-03-30,3,GTA VI,worldwide
2025-04-06,3,GTA VI,worldwide
2025-04-13,3,GTA VI,worldwide
2025-04-20,3,GTA VI,worldwide
2025-04-27,10,GTA VI,worldwide
2025-05-04,31,GTA VI,worldwide
2025-05-11,18,GTA VI,worldwide
2025-05-18,9,GTA VI,worldwide
2025-05-25,6,GTA VI,worldwide
2025-06-01,3,GTA VI,worldwide
