date,views,article
2023-01-01,134,Grand_Theft_Auto_VI
2023-01-02,59,Grand_Theft_Auto_VI
2023-01-03,49,Grand_Theft_Auto_VI
2023-01-04,46,Grand_Theft_Auto_VI
2023-01-05,48,Grand_Theft_Auto_VI
2023-01-06,55,Grand_Theft_Auto_VI
2023-01-07,34,Grand_Theft_Auto_VI
2023-01-08,26,Grand_Theft_Auto_VI
2023-01-09,45,Grand_Theft_Auto_VI
2023-01-10,45,Grand_Theft_Auto_VI
2023-01-11,38,Grand_Theft_Auto_VI
2023-01-12,38,Grand_Theft_Auto_VI
2023-01-13,27,Grand_Theft_Auto_VI
2023-01-14,34,Grand_Theft_Auto_VI
2023-01-15,43,Grand_Theft_Auto_VI
2023-01-16,27,Grand_Theft_Auto_VI
2023-01-17,58,Grand_Theft_Auto_VI
2023-01-18,51,Grand_Theft_Auto_VI
2023-01-19,48,Grand_Theft_Auto_VI
2023-01-20,38,Grand_Theft_Auto_VI
2023-01-21,36,Grand_Theft_Auto_VI
2023-01-22,37,Grand_Theft_Auto_VI
2023-01-23,78,Grand_Theft_Auto_VI
2023-01-24,116,Grand_Theft_Auto_VI
2023-01-25,53,Grand_Theft_Auto_VI
2023-01-26,53,Grand_Theft_Auto_VI
2023-01-27,39,Grand_Theft_Auto_VI
2023-01-28,35,Grand_Theft_Auto_VI
2023-01-29,43,Grand_Theft_Auto_VI
2023-01-30,113,Grand_Theft_Auto_VI
2023-01-31,48,Grand_Theft_Auto_VI
2023-02-01,95,Grand_Theft_Auto_VI
2023-02-02,36,Grand_Theft_Auto_VI
2023-02-03,48,Grand_Theft_Auto_VI
2023-02-04,38,Grand_Theft_Auto_VI
2023-02-05,35,Grand_Theft_Auto_VI
2023-02-06,42,Grand_Theft_Auto_VI
2023-02-07,46,Grand_Theft_Auto_VI
2023-02-08,41,Grand_Theft_Auto_VI
2023-02-09,30,Grand_Theft_Auto_VI
2023-02-10,42,Grand_Theft_Auto_VI
2023-02-11,39,Grand_Theft_Auto_VI
2023-02-12,43,Grand_Theft_Auto_VI
2023-02-13,34,Grand_Theft_Auto_VI
2023-02-14,40,Grand_Theft_Auto_VI
2023-02-15,34,Grand_Theft_Auto_VI
2023-02-16,31,Grand_Theft_Auto_VI
2023-02-17,41,Grand_Theft_Auto_VI
2023-02-18,31,Grand_Theft_Auto_VI
2023-02-19,40,Grand_Theft_Auto_VI
2023-02-20,29,Grand_Theft_Auto_VI
2023-02-21,29,Grand_Theft_Auto_VI
2023-02-22,44,Grand_Theft_Auto_VI
2023-02-23,49,Grand_Theft_Auto_VI
2023-02-24,33,Grand_Theft_Auto_VI
2023-02-25,39,Grand_Theft_Auto_VI
2023-02-26,45,Grand_Theft_Auto_VI
2023-02-27,33,Grand_Theft_Auto_VI
2023-02-28,50,Grand_Theft_Auto_VI
2023-03-01,37,Grand_Theft_Auto_VI
2023-03-02,42,Grand_Theft_Auto_VI
2023-03-03,31,Grand_Theft_Auto_VI
2023-03-04,28,Grand_Theft_Auto_VI
2023-03-05,33,Grand_Theft_Auto_VI
2023-03-06,45,Grand_Theft_Auto_VI
